Follower Account,Follower Name,Following Account,Following Name
bearbirdwhistle,Claire Birdwhistle,Lisa,lilli3lilli
becca_loves_it,Rebecca Lovett,Bilkish Vawda,bilkish_vawda
terriliscious,Terri Lurie,Terri Lurie,terriliscious
iyeza_lesixhosa,Iyeza Lam,renita,renita_beachoo
judyngwenya,Judy Ngwenya,Iyeza Lam,iyeza_lesixhosa
lauren.white.89,Lauren White,Judy Ngwenya,judyngwenya
mandybandz,Follow,veganproductssa,veganproductssa
dralchemy91,kurtVdayal,Lauren White,lauren.white.89
daleen_plantpowerrunner,Daleen Venter,Kate Webb,k8te263
natashadusrathmisra,Natasha,Kaitlyn,kaitplantbased
nailtechsparkles,Sea Green Sparkles 🌱,ꪀⅈᥴꪮꪶꪖ ᭙ꪖꪶꪶꫀ𝕣,nicola.waller
mamello_ntsele,mamello ndumo,Love Coffee,lovecoffee.dbn
nellylangamkhize,Nelly Langa Mkhize,Follow,mandybandz
diri1404,Diri!,kurtVdayal,dralchemy91
ngoku_brand_growth,NGOKU Brand Growth (Pty) Ltd,Daleen Venter,daleen_plantpowerrunner
mandy_leighw,Mandy Leigh,Sea Green Sparkles 🌱,nailtechsparkles
b_s_k_95,Simz,mamello ndumo,mamello_ntsele
2limat,Thuli,a l y o n n a m a r i e,alyonna_marie
therazensportsmassage,therazen,Rubene Ramdas,rubeneramdas
booth_and_company,Booth&Co.,Richard Stamps,resiii32
groundcoverhillcrest,Groundcover Hillcrest,Diri!,diri1404
facesock.sa,Face Sock 🇿🇦,Follow,danii_c0
durbangasonwheels,Durban Gas on Wheels,Simz,b_s_k_95
durbanautoexotics,dbn_exotic_spotter,NGOKU Brand Growth (Pty) Ltd,ngoku_brand_growth
lhali.m,Lhali Mazizi💍,Beegan Vegan,beeganvegan
sanitizerguysdurban,Sanitizerguys,Best Of Vegan,bestofvegan
madidazamo,zamo,Bele Belle Bakery,thamsanqadu
sine_mancwane,Sineh KaMaZungu 🇿🇦,The Litchi Orchard,thelitchiorchard
jayjay_sa,Jaydee Hatting,Hello Durban,hello_durban
__were_forever__,Follow,I Heart Market,iheartmarket
leafcafesa,Leaf Cafe,Midlands Meander,midlandsmeander
ayaxola_projects,"""Safetywear Specialist""",what's on Durban!,whats_on_durban
f8ph_otography,Tumelo Motsamai,Shongweni Farmers Market,shongweni_farmers_market
mabeesg,Sithembile,Xoliswa Mthembu,xoliswa.mthembu
busybee_fitness,BusyBee Fitness jw,Verified,instagram
nwabisangcezu,Nwabisa Ngcezu,Ant And Mel Cox,yourrealfoodconnection
mawganics,Mawganics,Sithembile,mabeesg
hairlinehair,HerGoals,Leaf Cafe,leafcafesa
